,Vectors,Lang
0,"[[-5.2946625e+02 -4.5446738e+02 -3.9308878e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.8457233e+01  9.5342575e+01  1.5136635e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.8190834e+01  2.5879881e+01  3.9971344e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-1.0993437e+01 -5.0499296e+00  7.1224375e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-6.9087219e+00  9.1962814e-02  7.1970024e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.3697634e+00 -3.7932420e-01  9.5489740e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
1,"[[-5.4273145e+02 -4.4655005e+02 -2.6354449e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.5125893e+01  1.2557796e+02  1.1585376e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.8923485e+01  6.5528446e-01 -8.1410538e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.5871722e-01 -4.4501883e-01 -9.3275661e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.2076063e+00  9.5642395e+00  2.0810566e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.0464544e+00  5.8807840e+00 -3.7009106e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
2,"[[-580.6701     -480.8971     -398.3205     ...    0.
     0.            0.        ]
 [   7.73022       1.1551852    38.399025   ...    0.
     0.            0.        ]
 [  15.806478     47.946327     70.66341    ...    0.
     0.            0.        ]
 ...
 [   0.9738647     0.96812725   -3.4578586  ...    0.
     0.            0.        ]
 [   1.9829682     1.9108036    -2.66694    ...    0.
     0.            0.        ]
 [  -3.668641     -8.451117    -10.960523   ...    0.
     0.            0.        ]]",Bengali
3,"[[-423.3275    -332.37094   -332.72223   ...    0.           0.
     0.       ]
 [  93.7269     109.5144      98.666885  ...    0.           0.
     0.       ]
 [ -58.10314    -82.7669     -94.28555   ...    0.           0.
     0.       ]
 ...
 [ -16.950346   -13.51271     -8.726791  ...    0.           0.
     0.       ]
 [  -5.2357354   -7.324554    -6.687602  ...    0.           0.
     0.       ]
 [   6.884344     8.634845    12.450769  ...    0.           0.
     0.       ]]",Bengali
4,"[[-247.7952    -113.57214    -67.81812   ...    0.           0.
     0.       ]
 [ 180.43039    175.16129    161.96962   ...    0.           0.
     0.       ]
 [ -58.457245   -64.95624    -70.11837   ...    0.           0.
     0.       ]
 ...
 [ -18.887806   -29.171131   -25.598412  ...    0.           0.
     0.       ]
 [  -6.417966    -2.5525043   -2.2856677 ...    0.           0.
     0.       ]
 [  11.089218     8.835747    -0.8722542 ...    0.           0.
     0.       ]]",Bengali
5,"[[-492.54364   -371.88412   -327.3182    ...    0.           0.
     0.       ]
 [ 151.03107    168.13705    161.35776   ...    0.           0.
     0.       ]
 [  -5.476679   -24.9081     -25.49379   ...    0.           0.
     0.       ]
 ...
 [   2.2242415   -1.9751722  -10.001041  ...    0.           0.
     0.       ]
 [ -20.286802   -19.597157   -10.0115185 ...    0.           0.
     0.       ]
 [ -16.140991   -18.10091    -15.255716  ...    0.           0.
     0.       ]]",Bengali
6,"[[-303.67545    -190.0069     -184.4188     ...    0.
     0.            0.        ]
 [ 185.72131     191.32385     177.17981    ...    0.
     0.            0.        ]
 [ -23.09061     -30.377983    -17.684689   ...    0.
     0.            0.        ]
 ...
 [   0.39471453    3.9133744     4.1657777  ...    0.
     0.            0.        ]
 [ -18.349806    -18.788433    -12.484623   ...    0.
     0.            0.        ]
 [ -16.170914     -9.08485      -9.472419   ...    0.
     0.            0.        ]]",Bengali
7,"[[-330.8525    -195.3487    -154.01106   ...    0.           0.
     0.       ]
 [ 101.694626   148.1727     154.04192   ...    0.           0.
     0.       ]
 [  -9.591136   -14.367268   -34.279083  ...    0.           0.
     0.       ]
 ...
 [  13.266184    13.306906    12.246188  ...    0.           0.
     0.       ]
 [  -2.6263876    0.8012433   -6.0149264 ...    0.           0.
     0.       ]
 [   8.307535    13.128159    20.179295  ...    0.           0.
     0.       ]]",Bengali
8,"[[-623.0734    -581.8304    -556.04156   ...    0.           0.
     0.       ]
 [  18.624979    71.126205    96.14546   ...    0.           0.
     0.       ]
 [  17.582325    55.425823    59.88973   ...    0.           0.
     0.       ]
 ...
 [  -5.1201744   -6.1826057   -4.018448  ...    0.           0.
     0.       ]
 [  -4.128897    -4.3163      -5.7765684 ...    0.           0.
     0.       ]
 [  -3.0393825   -0.6576629   -3.429277  ...    0.           0.
     0.       ]]",Bengali
9,"[[-2.9780692e+02 -1.4025586e+02 -1.0790887e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1130197e+02  1.2574121e+02  1.4182965e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.0571613e+01 -2.8219715e+01 -3.8467712e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 8.7754326e+00  2.2531476e+00  3.1876893e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-6.4915080e+00 -6.7827816e+00  1.9452310e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.5146524e+01  1.7632456e+01  1.5690281e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
